temperature 	 <E> 	 <E^2> 	 <m> 	 <m^2> 	 <m^4>
0	                        -1.375	                       1.89062	                      0.321429	                       0.103516	                      0.0108013	 
0.05	                        -1.375	                       1.89062	                      0.321428	                       0.103515	                      0.0108013	 
0.1	                        -1.375	                       1.89062	                      0.321428	                       0.103515	                      0.0108013	 
0.15	                        -1.375	                       1.89062	                      0.321429	                       0.103516	                      0.0108013	 
0.2	                        -1.375	                       1.89062	                      0.321429	                       0.103516	                      0.0108013	 
0.25	                        -1.375	                       1.89062	                      0.321429	                       0.103516	                      0.0108013	 
0.3	                        -1.375	                       1.89062	                      0.143525	                      0.0339036	                     0.00319038	 
0.35	                            -2	                             4	                             1	                              1	                              1	 
0.4	                            -2	                             4	                             1	                              1	                              1	 
0.45	                            -2	                             4	                             1	                              1	                              1	 
0.5	                            -2	                       3.99999	                      0.999999	                       0.999999	                       0.999998	 
0.55	                      -1.99999	                       3.99997	                      0.999998	                       0.999996	                       0.999993	 
0.6	                      -1.99999	                       3.99995	                      0.999997	                       0.999994	                       0.999988	 
0.65	                      -1.99996	                       3.99986	                      0.999991	                       0.999983	                       0.999967	 
0.7	                      -1.99991	                       3.99963	                      0.999976	                       0.999953	                       0.999909	 
0.75	                      -1.99979	                       3.99919	                      0.999947	                       0.999897	                         0.9998	 
0.8	                      -1.99958	                       3.99839	                      0.999896	                       0.999795	                       0.999602	 
0.85	                      -1.99934	                       3.99744	                      0.999834	                       0.999673	                       0.999366	 
0.9	                      -1.99883	                       3.99545	                      0.999702	                       0.999414	                       0.998866	 
0.95	                       -1.9981	                       3.99264	                      0.999516	                       0.999049	                       0.998162	 
1	                       -1.9971	                       3.98878	                      0.999261	                       0.998547	                       0.997192	 
1.05	                      -1.99554	                       3.98275	                      0.998853	                       0.997746	                       0.995651	 
1.1	                      -1.99405	                       3.97703	                      0.998465	                       0.996987	                       0.994192	 
1.15	                      -1.99151	                       3.96725	                      0.997799	                       0.995683	                       0.991689	 
1.2	                      -1.98855	                       3.95586	                      0.997009	                       0.994138	                       0.988733	 
1.25	                      -1.98503	                       3.94235	                      0.996081	                       0.992325	                       0.985272	 
1.3	                      -1.98033	                        3.9244	                       0.99478	                       0.989798	                       0.980491	 
1.35	                      -1.97472	                       3.90297	                      0.993257	                       0.986834	                       0.974868	 
1.4	                      -1.96814	                       3.87801	                      0.991409	                        0.98326	                       0.968159	 
1.45	                      -1.96112	                       3.85141	                      0.989434	                       0.979441	                       0.961001	 
1.5	                      -1.95058	                       3.81186	                       0.98631	                       0.973467	                       0.950009	 
1.55	                      -1.94104	                       3.77606	                      0.983534	                       0.968136	                       0.940152	 
1.6	                      -1.92897	                       3.73138	                      0.979867	                       0.961199	                       0.927619	 
1.65	                      -1.91461	                       3.67838	                      0.975322	                       0.952663	                       0.912346	 
1.7	                      -1.89922	                       3.62217	                      0.970473	                       0.943584	                        0.89626	 
1.75	                      -1.87964	                       3.55145	                      0.963973	                       0.931607	                        0.87551	 
1.8	                      -1.85976	                       3.48089	                      0.957151	                       0.919192	                       0.854487	 
1.85	                      -1.83695	                       3.40057	                      0.948666	                       0.904416	                       0.830365	 
1.9	                      -1.80804	                       3.30081	                      0.937312	                       0.884717	                       0.799097	 
1.95	                      -1.77885	                        3.2023	                      0.925654	                       0.865057	                       0.768864	 
2	                      -1.74812	                       3.10006	                      0.912555	                       0.843565	                       0.736831	 
2.01	                      -1.73931	                       3.07083	                      0.908698	                       0.837045	                       0.727099	 
2.02	                        -1.733	                       3.05031	                      0.906291	                        0.83283	                       0.720769	 
2.03	                      -1.72256	                       3.01702	                      0.900358	                       0.824443	                        0.70981	 
2.04	                      -1.71584	                       2.99423	                      0.898124	                        0.82008	                        0.70257	 
2.05	                       -1.7087	                       2.97276	                      0.894173	                       0.814447	                       0.695696	 
2.06	                      -1.69921	                       2.94214	                      0.889437	                        0.80742	                       0.686189	 
2.07	                      -1.69137	                       2.91595	                      0.887301	                       0.802994	                       0.678502	 
2.08	                      -1.68176	                       2.88623	                      0.882265	                       0.795574	                       0.669047	 
2.09	                      -1.67387	                       2.86233	                      0.876914	                        0.78846	                       0.660684	 
2.1	                       -1.6669	                       2.84015	                         0.874	                       0.783539	                       0.653515	 
2.11	                      -1.65753	                       2.81007	                      0.869471	                       0.776456	                       0.643648	 
2.12	                      -1.64981	                       2.78643	                      0.864969	                       0.770098	                       0.635725	 
2.13	                      -1.63951	                       2.75372	                        0.8611	                       0.763423	                       0.625916	 
2.14	                      -1.62923	                       2.72307	                      0.854783	                       0.755034	                       0.616114	 
2.15	                       -1.6184	                       2.68988	                      0.848719	                       0.746127	                       0.604715	 
2.16	                      -1.60467	                         2.648	                      0.842104	                        0.73619	                       0.591942	 
2.17	                      -1.59474	                       2.61927	                      0.835489	                       0.727715	                       0.582402	 
2.18	                      -1.58851	                       2.59996	                      0.833339	                       0.723644	                       0.576301	 
2.19	                       -1.5786	                       2.57039	                      0.827368	                       0.715626	                       0.566786	 
2.2	                      -1.57106	                       2.54744	                      0.823196	                       0.709493	                       0.559259	 
2.21	                       -1.5543	                       2.49822	                      0.813656	                       0.696478	                       0.543694	 
2.22	                      -1.54277	                        2.4645	                      0.806046	                       0.686198	                       0.532095	 
2.23	                      -1.53664	                       2.44738	                      0.804016	                       0.682881	                       0.527312	 
2.24	                      -1.52613	                       2.41418	                      0.798371	                       0.674651	                       0.516925	 
2.25	                      -1.51785	                       2.39141	                      0.794591	                       0.669171	                       0.510318	 
2.26	                      -1.50071	                       2.34212	                      0.783533	                       0.654869	                       0.494218	 
2.27	                      -1.48499	                       2.29944	                      0.772663	                       0.641289	                       0.480218	 
2.28	                      -1.47835	                       2.27857	                      0.768703	                       0.635562	                       0.473013	 
2.29	                      -1.46541	                       2.24282	                      0.761322	                        0.62556	                       0.461861	 
2.3	                      -1.45806	                       2.22199	                      0.756865	                       0.619922	                       0.455407	 
2.31	                      -1.44381	                       2.18251	                      0.749181	                       0.608985	                       0.442969	 
2.32	                      -1.43672	                        2.1633	                      0.744501	                       0.603734	                       0.437892	 
2.33	                      -1.42003	                       2.11798	                      0.733677	                       0.589831	                       0.423047	 
2.34	                       -1.4022	                       2.06908	                      0.720028	                       0.573453	                       0.406573	 
2.35	                      -1.40066	                       2.06447	                      0.722414	                        0.57493	                        0.40664	 
2.36	                      -1.39018	                         2.036	                      0.714541	                       0.565772	                       0.397577	 
2.37	                       -1.3741	                        1.9924	                      0.705371	                         0.5539	                       0.384688	 
2.38	                      -1.36137	                       1.95756	                      0.696476	                       0.542547	                       0.372802	 
2.39	                      -1.34616	                       1.91926	                      0.686301	                       0.530727	                       0.361606	 
2.4	                      -1.33986	                       1.90177	                      0.681849	                       0.524935	                       0.355619	 
2.41	                      -1.32484	                        1.8624	                      0.671348	                       0.512832	                       0.343819	 
2.42	                      -1.31333	                       1.83215	                      0.665776	                        0.50486	                       0.335055	 
2.43	                      -1.29918	                       1.79456	                      0.654913	                       0.492408	                       0.323154	 
2.44	                      -1.29467	                       1.78345	                      0.653269	                       0.490083	                       0.320817	 
2.45	                      -1.27297	                       1.72962	                      0.634927	                       0.469827	                       0.302872	 
2.46	                      -1.26743	                        1.7147	                      0.633114	                        0.46702	                       0.299598	 
2.47	                      -1.25798	                       1.69206	                      0.627785	                        0.46104	                       0.294121	 
2.48	                      -1.24656	                       1.66249	                      0.621246	                       0.452628	                       0.285353	 
2.49	                      -1.23522	                       1.63282	                       0.61213	                       0.442062	                       0.275381	 
2.5	                      -1.22306	                       1.60316	                      0.603425	                       0.432799	                       0.267292	 
2.51	                      -1.20798	                       1.56672	                      0.593239	                        0.42073	                       0.256283	 
2.52	                      -1.20285	                       1.55276	                      0.591886	                       0.418642	                       0.253342	 
2.53	                      -1.18826	                       1.51808	                      0.580269	                       0.406142	                       0.243269	 
2.54	                      -1.17071	                       1.47515	                      0.565073	                       0.389539	                       0.229014	 
2.55	                      -1.16692	                       1.46602	                      0.566514	                       0.390307	                       0.228459	 
2.56	                       -1.1595	                       1.44944	                      0.560036	                       0.383756	                       0.223371	 
2.57	                      -1.14885	                       1.42385	                      0.554055	                       0.376742	                       0.216977	 
2.58	                      -1.13731	                       1.39758	                      0.545556	                       0.367832	                       0.209571	 
2.59	                      -1.12203	                       1.35896	                      0.533597	                        0.35428	                        0.19749	 
2.6	                       -1.1219	                       1.35992	                      0.533312	                       0.354285	                       0.197905	 
2.61	                      -1.10818	                       1.32957	                      0.525639	                       0.345739	                       0.190787	 
2.62	                      -1.10295	                       1.31748	                      0.521374	                       0.341889	                       0.188127	 
2.63	                      -1.08878	                       1.28272	                      0.510006	                       0.329114	                       0.176858	 
2.64	                      -1.07992	                       1.26313	                      0.505075	                       0.324078	                       0.172817	 
2.65	                       -1.0662	                       1.23229	                      0.495379	                       0.313708	                       0.164377	 
2.66	                      -1.06362	                       1.22709	                      0.493086	                        0.31187	                       0.163223	 
2.67	                      -1.05478	                       1.20747	                      0.487929	                       0.305983	                       0.158355	 
2.68	                      -1.04662	                       1.18824	                        0.4827	                       0.300472	                       0.153858	 
2.69	                      -1.03849	                        1.1727	                      0.475175	                       0.293771	                       0.149794	 
2.7	                      -1.03014	                       1.15407	                      0.469658	                       0.288052	                       0.144965	 
2.71	                      -1.01864	                       1.12819	                      0.461534	                       0.279326	                       0.138007	 
2.72	                      -1.01732	                       1.12577	                      0.461616	                       0.279518	                       0.137904	 
2.73	                      -1.00208	                        1.0937	                      0.450757	                       0.268799	                       0.130169	 
2.74	                     -0.998554	                       1.08498	                      0.448184	                       0.265635	                       0.127316	 
2.75	                     -0.993931	                        1.0765	                      0.446583	                       0.264231	                        0.12658	 
2.76	                      -0.98461	                       1.05529	                      0.438891	                       0.256454	                       0.120396	 
2.77	                     -0.973909	                       1.03303	                      0.430652	                       0.248419	                         0.1148	 
2.78	                     -0.969351	                       1.02377	                      0.428319	                       0.246353	                        0.11333	 
2.79	                      -0.96251	                       1.01169	                      0.424021	                       0.242771	                       0.111509	 
2.8	                     -0.953404	                      0.992384	                      0.419114	                       0.237401	                       0.106926	 
2.81	                     -0.947679	                      0.981522	                      0.416067	                       0.234585	                       0.105317	 
2.82	                     -0.943509	                      0.971479	                      0.409739	                       0.229168	                       0.101722	 
2.83	                     -0.936878	                      0.958375	                      0.407421	                       0.226322	                      0.0992792	 
2.84	                      -0.92584	                       0.93722	                      0.399264	                       0.219445	                      0.0950367	 
2.85	                     -0.924419	                      0.933581	                      0.399925	                       0.218892	                      0.0939186	 
